iter	Passed	Remaining
400	23131	34553
401	23190	34496
402	23243	34433
403	23286	34353
404	23329	34273
405	23372	34194
406	23414	34115
407	23515	34120
408	23572	34061
409	23617	33986
410	23662	33911
411	23713	33844
412	23772	33787
413	23827	33727
414	23900	33691
415	23948	33620
416	24001	33556
417	24059	33499
418	24108	33429
419	24146	33345
420	24196	33276
421	24243	33205
422	24326	33182
423	24380	33120
424	24446	33074
425	24489	32997
426	24534	32922
427	24578	32847
428	24627	32778
429	24716	32763
430	24764	32694
431	24814	32626
432	24858	32550
433	24898	32471
434	24944	32399
435	24998	32337
436	25056	32280
437	25135	32251
438	25190	32191
439	25234	32116
440	25277	32040
441	25319	31963
442	25366	31894
443	25410	31820
444	25487	31787
445	25547	31734
446	25597	31667
447	25642	31595
448	25686	31522
449	25728	31445
450	25773	31374
451	25819	31303
452	25875	31245
453	25929	31184
454	25971	31108
455	26018	31039
456	26062	30967
457	26114	30904
458	26158	30831
459	26197	30753
460	26244	30685
461	26315	30644
462	26367	30581
463	26416	30515
464	26462	30445
465	26509	30377
466	26556	30309
467	26597	30234
468	26654	30177
469	26722	30133
470	26797	30097
471	26853	30039
472	26909	29981
473	26963	29921
474	27010	29853
475	27067	29796
476	27141	29758
477	27187	29689
478	27228	29615
479	27273	29546
480	27314	29472
481	27362	29405
482	27414	29344
483	27482	29299
484	27534	29237
485	27584	29173
486	27630	29105
487	27676	29037
488	27733	28980
489	27784	28918
490	27830	28850
491	27899	28806
492	27945	28739
493	28033	28714
494	28136	28705
495	28205	28660
496	28258	28599
497	28324	28552
498	28371	28485
499	28422	28422
500	28469	28355
501	28517	28290
502	28566	28225
503	28612	28158
504	28677	28109
505	28724	28043
506	28774	27979
507	28829	27921
508	28881	27859
509	28945	27810
510	28998	27750
511	29089	27725
512	29135	27658
513	29179	27589
514	29225	27522
515	29265	27450
516	29316	27388
517	29357	27317
518	29417	27263
519	29487	27218
520	29535	27154
521	29596	27101
522	29651	27043
523	29715	26993
524	29889	27043
525	29994	27029
526	30054	26974
527	30102	26910
528	30152	26846
529	30199	26780
530	30256	26723
531	30315	26668
532	30373	26612
533	30432	26556
534	30482	26494
535	30531	26430
536	30685	26456
537	30770	26423
538	30847	26383
539	30926	26344
540	31010	26310
541	31104	26283
542	31168	26232
543	31239	26185
544	31291	26124
545	31361	26077
546	31455	26050
547	31526	26003
548	31584	25946
549	31638	25886
550	31723	25850
551	31829	25832
552	31890	25777
553	31976	25742
554	32083	25724
555	32142	25667
556	32215	25622
557	32297	25583
558	32351	25522
559	32398	25456
560	32447	25391
561	32490	25321
562	32543	25260
563	32597	25199
564	32663	25147
565	32704	25077
566	32744	25005
567	32787	24936
568	32832	24869
569	32873	24799
570	32919	24732
571	32967	24667
572	33042	24623
573	33095	24562
574	33143	24497
575	33184	24427
576	33229	24360
577	33275	24294
578	33322	24229
579	33361	24158
580	33432	24110
581	33476	24042
582	33519	23975
583	33557	23904
584	33602	23837
585	33648	23772
586	33688	23702
587	33735	23638
588	33788	23577
589	33870	23537
590	33935	23485
591	33982	23420
592	34110	23411
593	34234	23399
594	34299	23346
595	34381	23305
596	34435	23245
597	34491	23186
598	34555	23132
599	34640	23093
600	34689	23030
601	34740	22967
602	34786	22902
603	34837	22840
604	34886	22777
605	34931	22711
606	34983	22650
607	35100	22630
608	35200	22599
609	35244	22533
610	35286	22465
611	35327	22397
612	35371	22330
613	35419	22266
614	35480	22211
615	35533	22150
616	35587	22090
617	35635	22026
618	35683	21963
619	35728	21898
620	35781	21837
621	35825	21771
622	35892	21719
623	35943	21658
624	35992	21595
625	36040	21532
626	36091	21470
627	36140	21407
628	36193	21347
629	36248	21288
630	36310	21233
631	36361	21172
632	36410	21110
633	36456	21045
634	36507	20984
635	36561	20925
636	36611	20863
637	36670	20806
638	36729	20750
639	36770	20683
640	36818	20620
641	36866	20557
642	36911	20493
643	36960	20431
644	37008	20369
645	37072	20315
646	37128	20256
647	37179	20196
648	37228	20134
649	37280	20073
650	37325	20010
651	37373	19948
652	37423	19886
653	37487	19832
654	37541	19773
655	37592	19713
656	37635	19648
657	37679	19584
658	37729	19523
659	37767	19455
660	37817	19395
661	37877	19339
662	37955	19292
663	38009	19233
664	38059	19172
665	38105	19110
666	38167	19054
667	38237	19004
668	38316	18957
669	38373	18900
670	38409	18832
671	38453	18768
672	38498	18705
673	38539	18640
674	38581	18576
675	38637	18518
676	38685	18457
677	38728	18393
678	38771	18329
679	38813	18265
680	38867	18206
681	38933	18153
682	38985	18094
683	39050	18040
684	39102	17981
685	39154	17922
686	39198	17859
687	39246	17797
688	39291	17735
689	39338	17673
690	39386	17612
691	39449	17558
692	39500	17498
693	39549	17438
694	39600	17378
695	39644	17315
696	39688	17253
697	39732	17190
698	39776	17128
699	39833	17071
700	39885	17012
701	39932	16951
702	39974	16888
703	40022	16827
